Datetime,Exchange,Symbol_Pair,Low,High,Open,Close,Volume_in_BUSD,Volume_USD
2022-06-28,Coinbase,BUSD/USD,0.999,1.001,0.999,0.999,368684.54,368315.85546
2022-06-27,Coinbase,BUSD/USD,0.999,1.001,0.999,1.0,350472.09,350472.09
2022-06-26,Coinbase,BUSD/USD,0.999,1.001,0.999,1.001,251911.26,252163.17126
2022-06-25,Coinbase,BUSD/USD,0.999,1.001,1.001,0.999,319490.12,319170.62988
2022-06-24,Coinbase,BUSD/USD,0.999,1.001,1.001,1.001,375812.84,376188.65284
2022-06-23,Coinbase,BUSD/USD,0.999,1.001,1.0,0.999,207719.23,207511.51077
2022-06-22,Coinbase,BUSD/USD,0.999,1.001,1.001,1.0,410535.91,410535.91
2022-06-21,Coinbase,BUSD/USD,0.999,1.001,1.0,1.001,563491.55,564055.04155
2022-06-20,Coinbase,BUSD/USD,0.999,1.001,1.001,0.999,638726.35,638087.62365
2022-06-19,Coinbase,BUSD/USD,1.0,1.275,1.0,1.0,532663.85,532663.85
2022-06-18,Coinbase,BUSD/USD,0.999,1.5,1.0,1.001,1080183.01,1081263.1930099998
2022-06-17,Coinbase,BUSD/USD,0.998,1.0,1.0,0.999,381226.61,380845.38339
2022-06-16,Coinbase,BUSD/USD,0.997,1.001,1.0,0.999,972465.11,971492.64489
2022-06-15,Coinbase,BUSD/USD,0.999,1.001,1.001,1.001,1125323.08,1126448.4030799998
2022-06-14,Coinbase,BUSD/USD,0.999,1.001,1.0,1.0,910194.79,910194.79
2022-06-13,Coinbase,BUSD/USD,0.997,1.001,0.999,0.999,1010602.77,1009592.16723
2022-06-12,Coinbase,BUSD/USD,0.999,1.001,1.001,0.999,358788.55,358429.76145
2022-06-11,Coinbase,BUSD/USD,0.999,1.001,1.0,1.001,298586.12,298884.70612
2022-06-10,Coinbase,BUSD/USD,0.999,1.001,1.0,1.0,283539.01,283539.01
2022-06-09,Coinbase,BUSD/USD,0.999,1.001,1.0,1.001,284287.74,284572.02773999993
2022-06-08,Coinbase,BUSD/USD,0.999,1.001,1.001,1.001,214583.15,214797.73315
2022-06-07,Coinbase,BUSD/USD,0.999,1.001,1.0,1.001,727754.8,728482.5547999999
2022-06-06,Coinbase,BUSD/USD,0.999,1.001,1.0,1.001,299418.76,299718.17876
2022-06-05,Coinbase,BUSD/USD,0.999,1.001,1.001,1.0,123764.23,123764.23
2022-06-04,Coinbase,BUSD/USD,0.999,1.001,1.0,1.001,151643.07,151794.71307
