Datetime,Exchange,Symbol_Pair,Low,High,Open,Close,Volume_in_DOGE,Volume_USD
2022-08-25,Coinbase,DOGE/USD,0.06763,0.07183,0.06791,0.06899,203145816.3,14015029.866537
2022-08-24,Coinbase,DOGE/USD,0.06703,0.06965,0.06884,0.06791,173316707.5,11769937.606325
2022-08-23,Coinbase,DOGE/USD,0.06686,0.06924,0.0684,0.06881,167529656.8,11527715.684408
2022-08-22,Coinbase,DOGE/USD,0.06518,0.06944,0.0693,0.06839,268953944.9,18393760.291711
2022-08-21,Coinbase,DOGE/USD,0.06737,0.07075,0.06932,0.06935,234799811.7,16283366.941394998
2022-08-20,Coinbase,DOGE/USD,0.06762,0.07121,0.06774,0.06936,356612522.8,24734644.581408
2022-08-19,Coinbase,DOGE/USD,0.06704,0.07532,0.07472,0.06774,594237271.7,40253632.784958
2022-08-18,Coinbase,DOGE/USD,0.07344,0.08228,0.08022,0.07474,336070310.5,25117895.00677
2022-08-17,Coinbase,DOGE/USD,0.07937,0.08895,0.08676,0.08022,603724198.6,48430755.211692005
2022-08-16,Coinbase,DOGE/USD,0.07617,0.09,0.07662,0.08679,1176815546.0,102135821.23734
2022-08-15,Coinbase,DOGE/USD,0.07472,0.0821,0.08173,0.07664,550844238.2,42216702.415648006
2022-08-14,Coinbase,DOGE/USD,0.07264,0.08472,0.07298,0.08169,852474935.0,69638677.44015
2022-08-13,Coinbase,DOGE/USD,0.07185,0.0752,0.07234,0.07295,246962097.4,18015885.00533
2022-08-12,Coinbase,DOGE/USD,0.06972,0.07276,0.0709,0.07235,152581575.4,11039276.98019
2022-08-11,Coinbase,DOGE/USD,0.07043,0.0755,0.07129,0.0709,250472396.9,17758492.940210003
2022-08-10,Coinbase,DOGE/USD,0.06659,0.07151,0.06905,0.07129,265759297.3,18945980.304517
2022-08-09,Coinbase,DOGE/USD,0.06777,0.07427,0.07013,0.06906,359548885.9,24830446.060254
2022-08-08,Coinbase,DOGE/USD,0.06884,0.07257,0.06896,0.07015,236966343.1,16623188.968465
2022-08-07,Coinbase,DOGE/USD,0.06738,0.07003,0.06864,0.06896,114994882.0,7930047.062719999
2022-08-06,Coinbase,DOGE/USD,0.06841,0.07131,0.0698,0.06864,174260119.9,11961214.629936002
2022-08-05,Coinbase,DOGE/USD,0.06718,0.07031,0.06727,0.0698,203664002.5,14215747.3745
2022-08-04,Coinbase,DOGE/USD,0.06573,0.06764,0.06625,0.06725,145496443.4,9784635.818650002
2022-08-03,Coinbase,DOGE/USD,0.06511,0.06845,0.06653,0.06626,149724167.4,9920723.331924
2022-08-02,Coinbase,DOGE/USD,0.06548,0.06914,0.06849,0.06654,189130183.2,12584722.390128
2022-08-01,Coinbase,DOGE/USD,0.06682,0.07132,0.0681,0.06845,274306714.7,18776294.621215
2022-07-31,Coinbase,DOGE/USD,0.06782,0.07226,0.0697,0.06808,231652380.2,15770894.044016
2022-07-30,Coinbase,DOGE/USD,0.06792,0.0746,0.06881,0.06966,392219623.7,27322018.986942
2022-07-29,Coinbase,DOGE/USD,0.0669,0.07249,0.06911,0.06881,396291737.2,27268834.436732
2022-07-28,Coinbase,DOGE/USD,0.06517,0.07088,0.06724,0.06909,414286494.9,28623053.932641
2022-07-27,Coinbase,DOGE/USD,0.06178,0.06726,0.06255,0.06726,223383955.5,15024804.84693
2022-07-26,Coinbase,DOGE/USD,0.06008,0.06271,0.06193,0.06255,161645421.0,10110921.08355
2022-07-25,Coinbase,DOGE/USD,0.06176,0.06803,0.06754,0.06196,194729162.9,12065418.933284
