Datetime,Exchange,Symbol_Pair,Low,High,Open,Close,Volume_in_MATIC,Volume_USD
2022-03-14,Coinbase,MATIC/USD,1.3302,1.3939,1.3606,1.379,20886888.2,28803018.8278
2022-03-13,Coinbase,MATIC/USD,1.3526,1.4205,1.3971,1.3608,13715985.6,18664713.20448
2022-03-12,Coinbase,MATIC/USD,1.3936,1.4346,1.4049,1.3974,12452183.5,17400681.2229
2022-03-11,Coinbase,MATIC/USD,1.4037,1.4738,1.4366,1.405,25702622.1,36112184.050500005
2022-03-10,Coinbase,MATIC/USD,1.4011,1.5117,1.5066,1.437,25333181.2,36403781.3844
2022-03-09,Coinbase,MATIC/USD,1.4441,1.5454,1.4467,1.5061,30487542.3,45917287.45803
2022-03-08,Coinbase,MATIC/USD,1.403,1.4764,1.4105,1.4468,26718620.8,38656500.57344
2022-03-07,Coinbase,MATIC/USD,1.37,1.4968,1.4352,1.4105,38076104.4,53706345.2562
2022-03-06,Coinbase,MATIC/USD,1.4307,1.5192,1.5083,1.4346,14673808.8,21051046.10448
2022-03-05,Coinbase,MATIC/USD,1.448,1.5158,1.478,1.5092,14342618.2,21645879.38744
2022-03-04,Coinbase,MATIC/USD,1.4525,1.5878,1.5854,1.4778,30460958.2,45015204.02796
2022-03-03,Coinbase,MATIC/USD,1.5416,1.6521,1.6372,1.5856,32315601.7,51239618.05552
