Datetime,Exchange,Symbol_Pair,Low,High,Open,Close,Volume_in_ADA,Volume_USD
2022-12-07,Coinbase,ADA/USD,0.307,0.3198,0.3182,0.3104,45138065.49,14010855.528096002
2022-12-06,Coinbase,ADA/USD,0.3137,0.321,0.3195,0.3183,23786553.89,7571260.103187
2022-12-05,Coinbase,ADA/USD,0.3163,0.329,0.3222,0.3195,32197585.07,10287128.429865
2022-12-04,Coinbase,ADA/USD,0.3183,0.3242,0.3197,0.3224,29688601.9,9571605.25256
2022-12-03,Coinbase,ADA/USD,0.3163,0.3263,0.3192,0.3196,33611865.0,10742352.054
2022-12-02,Coinbase,ADA/USD,0.3106,0.32,0.3144,0.3191,36508123.98,11649742.362017998
2022-12-01,Coinbase,ADA/USD,0.3125,0.32,0.3187,0.3145,40802423.27,12832362.118415002
2022-11-30,Coinbase,ADA/USD,0.3083,0.3209,0.309,0.3189,80337028.06,25619478.248334
2022-11-29,Coinbase,ADA/USD,0.3041,0.3126,0.3064,0.309,38509662.74,11899485.78666
2022-11-28,Coinbase,ADA/USD,0.3,0.3138,0.3124,0.3064,47791205.46,14643225.352944
2022-11-27,Coinbase,ADA/USD,0.3113,0.3194,0.3136,0.3125,23635100.51,7385968.909375001
2022-11-26,Coinbase,ADA/USD,0.3108,0.3226,0.3144,0.3136,29717971.69,9319555.921984
2022-11-25,Coinbase,ADA/USD,0.3073,0.317,0.3158,0.3145,29237743.48,9195270.32446
2022-11-24,Coinbase,ADA/USD,0.3112,0.3209,0.3182,0.3159,33854654.47,10694685.347073
2022-11-23,Coinbase,ADA/USD,0.3088,0.32,0.3122,0.3181,51932657.15,16519778.239415
2022-11-22,Coinbase,ADA/USD,0.2978,0.3165,0.3042,0.3122,71058932.32,22184598.670304
2022-11-21,Coinbase,ADA/USD,0.2953,0.3131,0.3116,0.3043,88861212.08,27040466.835944
2022-11-20,Coinbase,ADA/USD,0.3094,0.331,0.3276,0.3117,44046794.83,13729385.948511
2022-11-19,Coinbase,ADA/USD,0.3211,0.332,0.3257,0.3277,27998888.12,9175235.636924
2022-11-18,Coinbase,ADA/USD,0.3203,0.3323,0.3249,0.3257,39308172.51,12802671.786507
2022-11-17,Coinbase,ADA/USD,0.3183,0.3342,0.3316,0.3248,48294842.18,15686164.740064
2022-11-16,Coinbase,ADA/USD,0.3235,0.344,0.3368,0.3316,56155913.55,18621300.93318
2022-11-15,Coinbase,ADA/USD,0.3287,0.3443,0.3317,0.3369,64097413.27,21594418.530663
2022-11-14,Coinbase,ADA/USD,0.3138,0.3413,0.3291,0.3318,97458184.88,32336625.743184
2022-11-13,Coinbase,ADA/USD,0.3249,0.3449,0.3391,0.3292,77101321.89,25381755.166188
2022-11-12,Coinbase,ADA/USD,0.3354,0.3558,0.3545,0.3392,64845207.04,21995494.227968
2022-11-11,Coinbase,ADA/USD,0.3412,0.3731,0.3678,0.3543,86300391.26,30576228.623418003
2022-11-10,Coinbase,ADA/USD,0.3114,0.3774,0.3178,0.3677,171340824.46,63002021.15394201
2022-11-09,Coinbase,ADA/USD,0.31,0.3763,0.3721,0.3178,245732328.17,78093733.892426
2022-11-08,Coinbase,ADA/USD,0.3469,0.4154,0.4042,0.3723,224690887.88,83652417.557724
2022-11-07,Coinbase,ADA/USD,0.3976,0.4162,0.4021,0.4042,83894014.8,33909960.78216
2022-11-06,Coinbase,ADA/USD,0.4016,0.4311,0.4264,0.4022,71428349.91,28728482.333802
2022-11-05,Coinbase,ADA/USD,0.4201,0.4377,0.4217,0.4265,91470553.37,39012191.012305
2022-11-04,Coinbase,ADA/USD,0.3881,0.4264,0.3894,0.4217,133205947.86,56172948.212562
2022-11-03,Coinbase,ADA/USD,0.3842,0.3991,0.3858,0.3895,67339573.27,26228763.788665
2022-11-02,Coinbase,ADA/USD,0.38,0.4119,0.4013,0.3857,122806610.25,47366509.573425
2022-11-01,Coinbase,ADA/USD,0.3985,0.415,0.4056,0.4012,68262304.89,27386836.721868
2022-10-31,Coinbase,ADA/USD,0.3976,0.4164,0.4058,0.4056,92126882.78,37366663.655568
2022-10-30,Coinbase,ADA/USD,0.3983,0.4217,0.4203,0.4058,80038021.83,32479429.258614
2022-10-29,Coinbase,ADA/USD,0.4011,0.44,0.4045,0.4203,103073925.52,43321970.896056
2022-10-28,Coinbase,ADA/USD,0.378,0.4115,0.3883,0.4046,87802014.4,35524695.026240006
2022-10-27,Coinbase,ADA/USD,0.3863,0.419,0.4031,0.3883,100374444.23,38975396.694509
2022-10-26,Coinbase,ADA/USD,0.3946,0.4122,0.4002,0.403,86024174.78,34667742.436340004
2022-10-25,Coinbase,ADA/USD,0.3569,0.43,0.3574,0.4001,176376778.54,70568349.093854
2022-10-24,Coinbase,ADA/USD,0.3533,0.3652,0.3621,0.3574,45830793.21,16379925.493254
2022-10-23,Coinbase,ADA/USD,0.346,0.3639,0.3515,0.3621,48185794.42,17448076.159482
2022-10-22,Coinbase,ADA/USD,0.343,0.3546,0.3491,0.3514,37403222.54,13143492.400556
2022-10-21,Coinbase,ADA/USD,0.33,0.3499,0.3401,0.3492,73365114.17,25619097.868164003
2022-10-20,Coinbase,ADA/USD,0.3363,0.3558,0.3498,0.3401,61059005.21,20766167.671921
2022-10-19,Coinbase,ADA/USD,0.3472,0.3625,0.3625,0.3498,53678207.61,18776637.021978
2022-10-18,Coinbase,ADA/USD,0.3572,0.3744,0.3726,0.3625,49934929.72,18101412.0235
2022-10-17,Coinbase,ADA/USD,0.3661,0.376,0.3703,0.3726,35652609.08,13284162.143208
2022-10-16,Coinbase,ADA/USD,0.3638,0.3749,0.3642,0.3704,37436019.22,13866301.519088
2022-10-15,Coinbase,ADA/USD,0.3613,0.3701,0.3667,0.3641,55135688.08,20074904.029928
2022-10-14,Coinbase,ADA/USD,0.3607,0.3891,0.3768,0.3667,79737165.54,29239618.603518005
2022-10-13,Coinbase,ADA/USD,0.35,0.3824,0.3812,0.3769,183443417.42,69139824.025598
2022-10-12,Coinbase,ADA/USD,0.376,0.3955,0.3906,0.3813,57722723.36,22009674.417168
2022-10-11,Coinbase,ADA/USD,0.3838,0.4014,0.401,0.3906,101779972.89,39755257.410834
2022-10-10,Coinbase,ADA/USD,0.3989,0.4268,0.423,0.4012,65154667.39,26140052.556868
2022-10-09,Coinbase,ADA/USD,0.4191,0.4242,0.422,0.423,25103478.19,10618771.27437
2022-10-08,Coinbase,ADA/USD,0.4193,0.427,0.4241,0.4221,27869192.01,11763585.947421
2022-10-07,Coinbase,ADA/USD,0.4216,0.4305,0.4287,0.424,44380290.26,18817243.07024
2022-10-06,Coinbase,ADA/USD,0.4256,0.4371,0.431,0.4287,53336851.27,22865508.139449004
