Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_BTC
2022-12-27 00:00:00,Bitfinex,BTC/USD,16947.0,16987.0,16866.0,16886.0,3000383.33998404,177.68467014
2022-12-26 23:00:00,Bitfinex,BTC/USD,16857.0,16963.0,16845.0,16946.0,477818.72986052,28.19654962
2022-12-26 22:00:00,Bitfinex,BTC/USD,16851.0,16864.0,16851.0,16857.0,116581.3785567,6.9159031
2022-12-26 21:00:00,Bitfinex,BTC/USD,16861.0,16874.0,16850.0,16851.0,192709.38997785,11.43608035
2022-12-26 20:00:00,Bitfinex,BTC/USD,16860.0,16869.0,16860.0,16861.0,42508.54496928,2.52111648
2022-12-26 19:00:00,Bitfinex,BTC/USD,16839.0,16877.0,16839.0,16860.0,232753.2170154,13.80505439
2022-12-26 18:00:00,Bitfinex,BTC/USD,16863.0,16863.0,16839.0,16840.0,119123.578428,7.0738467
2022-12-26 17:00:00,Bitfinex,BTC/USD,16862.0,16864.0,16853.0,16864.0,21214.40624864,1.25797001
2022-12-26 16:00:00,Bitfinex,BTC/USD,16830.0,16863.0,16822.0,16862.0,73228.21047034,4.34279507
2022-12-26 15:00:00,Bitfinex,BTC/USD,16848.0,16849.0,16814.0,16829.0,607715.02583743,36.11117867
2022-12-26 14:00:00,Bitfinex,BTC/USD,16857.0,16864.0,16848.0,16849.0,131171.57954950002,7.7851255
2022-12-26 13:00:00,Bitfinex,BTC/USD,16879.0,16880.0,16854.0,16858.0,414709.04194542,24.60013299
2022-12-26 12:00:00,Bitfinex,BTC/USD,16884.0,16885.0,16873.0,16879.0,146230.61999613998,8.663464659999999
2022-12-26 11:00:00,Bitfinex,BTC/USD,16870.0,16885.0,16870.0,16884.0,238852.29405492,14.14666513
2022-12-26 10:00:00,Bitfinex,BTC/USD,16849.0,16879.0,16849.0,16870.0,39264.36829,2.327467
2022-12-26 09:00:00,Bitfinex,BTC/USD,16854.0,16867.0,16849.0,16849.0,37426.48117502,2.22128798
2022-12-26 08:00:00,Bitfinex,BTC/USD,16864.0,16865.0,16843.0,16855.0,323671.75212625,19.20330775
2022-12-26 07:00:00,Bitfinex,BTC/USD,16871.0,16872.0,16859.0,16864.0,13919.57359424,0.82540166
2022-12-26 06:00:00,Bitfinex,BTC/USD,16875.0,16885.0,16871.0,16871.0,48528.52704569,2.87644639
2022-12-26 05:00:00,Bitfinex,BTC/USD,16893.0,16903.0,16875.0,16876.0,54593.71672276,3.23499151
2022-12-26 04:00:00,Bitfinex,BTC/USD,16911.0,16932.0,16884.0,16893.0,351931.16810943,20.83295851
2022-12-26 03:00:00,Bitfinex,BTC/USD,16910.0,16912.0,16892.0,16910.0,678735.2199318,40.13809698
2022-12-26 02:00:00,Bitfinex,BTC/USD,16867.0,16914.0,16867.0,16909.0,673323.2910464801,39.82040872
2022-12-26 01:00:00,Bitfinex,BTC/USD,16847.0,16888.0,16846.0,16867.0,367818.60558008,21.80699624
2022-12-26 00:00:00,Bitfinex,BTC/USD,16848.0,16850.0,16843.0,16846.0,49825.82507394,2.95772439
2022-12-25 23:00:00,Bitfinex,BTC/USD,16834.0,16850.0,16831.0,16847.0,129022.15749642,7.65846486
2022-12-25 22:00:00,Bitfinex,BTC/USD,16844.0,16858.0,16827.0,16834.0,296672.82785862,17.62343043
