Datetime,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_ADA
2022-12-27,ADA/USD,0.26567,0.26662,0.25663,0.2605,2994358.9094521273,11494659.92112141
2022-12-26,ADA/USD,0.25944,0.26599,0.25782,0.2656,3470721.90949579,13067477.06888475
2022-12-25,ADA/USD,0.25944,0.26032,0.25487,0.2595,1641865.5620001305,6327034.92100243
2022-12-24,ADA/USD,0.25975,0.26088,0.25692,0.25946,1573270.508878333,6063634.12039749
2022-12-23,ADA/USD,0.25698,0.26448,0.25572,0.25979,2582884.933310491,9942203.06135914
2022-12-22,ADA/USD,0.25347,0.25721,0.2467,0.25668,1776338.7702319955,6920440.9000779
2022-12-21,ADA/USD,0.25888,0.25979,0.24805,0.25362,2577085.3974822043,10161207.30810742
2022-12-20,ADA/USD,0.25309,0.26235,0.25142,0.25904,1405283.8269585606,5424968.44872823
2022-12-19,ADA/USD,0.26674,0.26962,0.24911,0.25289,1870901.9577224737,7398085.95722438
2022-12-18,ADA/USD,0.26796,0.27222,0.26287,0.26628,1936084.581249941,7270859.92658082
2022-12-17,ADA/USD,0.26384,0.26835,0.259,0.26769,2078477.4494011165,7764494.18880465
2022-12-16,ADA/USD,0.30048,0.3015,0.25471,0.26383,3294666.410664207,12487838.42119625
2022-12-15,ADA/USD,0.30822,0.30876,0.29635,0.30047,1676677.6722031727,5580183.28686116
2022-12-14,ADA/USD,0.31422,0.31577,0.30596,0.30835,2036377.9535367945,6604112.05946747
2022-12-13,ADA/USD,0.30735,0.31899,0.29954,0.31406,2197049.8966362383,6995637.44710004
2022-12-12,ADA/USD,0.30753,0.3081,0.30081,0.30703,909025.0923000295,2960704.46633889
2022-12-11,ADA/USD,0.31259,0.31525,0.30528,0.30771,724659.2268975213,2355007.07451016
2022-12-10,ADA/USD,0.3119,0.3149,0.31088,0.31269,338660.748672313,1083055.89776556
2022-12-09,ADA/USD,0.31496,0.31688,0.30882,0.31198,596732.5061560228,1912726.79708963
2022-12-08,ADA/USD,0.31041,0.31599,0.30733,0.31481,1078218.5307818854,3424981.83279402
2022-12-07,ADA/USD,0.3183,0.3202,0.30689,0.31032,2164309.7030231445,6974444.77643447
2022-12-06,ADA/USD,0.31962,0.32144,0.31402,0.31848,875370.6507591859,2748589.08176082
2022-12-05,ADA/USD,0.32261,0.32928,0.31636,0.31967,1400086.9757825246,4379788.45616581
2022-12-04,ADA/USD,0.3197,0.32448,0.31825,0.32274,1698147.609070174,5261658.32890306
2022-12-03,ADA/USD,0.31916,0.32669,0.31627,0.31963,2444368.2118211635,7647493.07581004
2022-12-02,ADA/USD,0.31479,0.32025,0.31053,0.31899,1371175.6223283173,4298490.93177942
2022-12-01,ADA/USD,0.3192,0.32028,0.31249,0.3146,1275689.0230609009,4054955.5723487
2022-11-30,ADA/USD,0.30933,0.32145,0.30829,0.31884,2097318.685062386,6577966.01763388
2022-11-29,ADA/USD,0.30675,0.3128,0.30418,0.30898,1283120.603379679,4152762.64929665
2022-11-28,ADA/USD,0.31274,0.31383,0.30003,0.30674,1494110.6963213112,4870935.30782197
2022-11-27,ADA/USD,0.31369,0.31985,0.31159,0.31233,711421.727087583,2277788.64370244
2022-11-26,ADA/USD,0.31484,0.32305,0.31083,0.31361,1868749.2576528252,5958831.85374454
2022-11-25,ADA/USD,0.31605,0.31758,0.30737,0.31478,1270400.1881894746,4035835.14895951
2022-11-24,ADA/USD,0.31882,0.32127,0.31164,0.31641,1361405.5951140104,4302662.98509532
2022-11-23,ADA/USD,0.31244,0.32055,0.30906,0.31861,1629757.8306787503,5115212.4248415
2022-11-22,ADA/USD,0.30447,0.31715,0.29818,0.31266,2269455.916421867,7258542.55875989
2022-11-21,ADA/USD,0.31151,0.31313,0.29527,0.30446,4132797.867232591,13574189.93376007
2022-11-20,ADA/USD,0.32757,0.3311,0.30954,0.31208,2038789.7039287498,6532907.27995626
2022-11-19,ADA/USD,0.32558,0.33218,0.3213,0.32782,1237732.8550420688,3775647.77939744
2022-11-18,ADA/USD,0.32453,0.33267,0.32049,0.3259,2164050.1989415563,6640227.67395384
2022-11-17,ADA/USD,0.33191,0.33411,0.3185,0.32485,1550313.7233143821,4772398.71729839
2022-11-16,ADA/USD,0.33636,0.34414,0.32357,0.33198,2037983.1763739672,6138873.35494297
2022-11-15,ADA/USD,0.33146,0.34494,0.32959,0.3368,2043982.1709527744,6068830.67385028
2022-11-14,ADA/USD,0.32936,0.34198,0.31436,0.33189,2990985.9744108007,9011979.79574799
2022-11-13,ADA/USD,0.34021,0.34585,0.32539,0.32973,4004051.782305444,12143425.77959374
2022-11-12,ADA/USD,0.35547,0.35656,0.336,0.33983,5530301.654203857,16273729.96558237
2022-11-11,ADA/USD,0.36817,0.37381,0.34212,0.35546,7139918.927541391,20086420.20914137
2022-11-10,ADA/USD,0.31688,0.3795,0.31184,0.36825,9246899.08420879,25110384.47850316
2022-11-09,ADA/USD,0.37161,0.3766,0.31021,0.31686,5656700.219504496,17852364.51273274
2022-11-08,ADA/USD,0.40435,0.41551,0.344,0.37197,7167785.006969775,19269793.28163501
2022-11-07,ADA/USD,0.40245,0.41657,0.39808,0.40452,2111202.486867285,5219031.16500367
2022-11-06,ADA/USD,0.42697,0.43137,0.40198,0.40235,2991858.667037272,7435960.40024176
2022-11-05,ADA/USD,0.42168,0.438,0.42042,0.42655,4322033.920980652,10132537.61805334
2022-11-04,ADA/USD,0.39007,0.4266,0.38838,0.42168,6757782.316405361,16025854.47829008
2022-11-03,ADA/USD,0.38572,0.39946,0.38445,0.38951,1750525.9605013814,4494174.63095012
2022-11-02,ADA/USD,0.40122,0.40971,0.38011,0.38598,5375274.697135737,13926303.68707119
2022-11-01,ADA/USD,0.40573,0.4152,0.39883,0.40158,1440159.2650613124,3586232.54410407
2022-10-31,ADA/USD,0.40599,0.4167,0.39782,0.40572,2160024.3869935893,5323928.78584637
2022-10-30,ADA/USD,0.42038,0.42225,0.39849,0.40599,2025798.332411807,4989773.96589031
2022-10-29,ADA/USD,0.40469,0.44075,0.40118,0.42051,3192236.025753208,7591343.90562224
2022-10-28,ADA/USD,0.3884,0.41156,0.37794,0.40452,2903944.6016353588,7178741.72262276
2022-10-27,ADA/USD,0.40304,0.41999,0.38636,0.38836,4095034.021323606,10544427.90535484
2022-10-26,ADA/USD,0.40056,0.412,0.39503,0.4035,2765343.98166526,6853392.76744798
2022-10-25,ADA/USD,0.35745,0.41759,0.3569,0.40032,4137864.6640638676,10336392.54612277
2022-10-24,ADA/USD,0.36217,0.36527,0.35345,0.35766,889410.8462454199,2486749.5561299
2022-10-23,ADA/USD,0.35211,0.3641,0.34571,0.36239,1325672.6970755542,3658138.18558888
2022-10-22,ADA/USD,0.34926,0.35469,0.34311,0.35165,1015079.7132765695,2886619.40360179
2022-10-21,ADA/USD,0.33996,0.35014,0.33013,0.34923,1075257.7507544628,3078938.6672235
2022-10-20,ADA/USD,0.34992,0.356,0.33629,0.33992,1572025.4351263957,4624692.38387384
2022-10-19,ADA/USD,0.36247,0.36247,0.3468,0.34982,1487030.6320696236,4250845.09767773
2022-10-18,ADA/USD,0.37248,0.37416,0.35714,0.36243,950891.0275840148,2623654.29899295
2022-10-17,ADA/USD,0.37036,0.37609,0.36616,0.3725,604563.7702114529,1622989.98714484
2022-10-16,ADA/USD,0.36384,0.37514,0.36384,0.37025,424967.7470576727,1147785.94748865
2022-10-15,ADA/USD,0.36648,0.37009,0.36112,0.36398,365691.99021485547,1004703.52825665
2022-10-14,ADA/USD,0.37681,0.38893,0.36072,0.36664,733261.6427461705,1999949.93112091
2022-10-13,ADA/USD,0.38097,0.38233,0.34913,0.37681,2109654.2525472944,5598721.51096652
2022-10-12,ADA/USD,0.39056,0.39499,0.37559,0.38116,623849.0921912214,1636711.85903878
