Datetime,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_ETH
2022-12-27,ETH/USD,1229.7,1234.9,1202.9,1212.9,13656212.01146132,11259.14091142
2022-12-26,ETH/USD,1220.0,1232.3,1213.1,1229.2,7269389.996608993,5913.91961976
2022-12-25,ETH/USD,1222.3,1226.1,1193.9,1219.8,12689400.245424619,10402.85312791
2022-12-24,ETH/USD,1221.7,1229.0,1216.4,1222.0,1253168.62615984,1025.50624072
2022-12-23,ETH/USD,1219.8,1233.5,1215.3,1221.7,6440790.703407549,5271.99042597
2022-12-22,ETH/USD,1214.7,1240.0,1185.1,1219.5,27954907.856845427,22923.25367515
2022-12-21,ETH/USD,1218.2,1223.8,1205.2,1215.0,15284941.86605265,12580.19906671
2022-12-20,ETH/USD,1168.1,1232.1,1163.9,1218.1,15917156.887780773,13067.20046612
2022-12-19,ETH/USD,1184.2,1196.2,1151.2,1167.9,16535405.576775556,14158.23750045
2022-12-18,ETH/USD,1188.4,1197.3,1173.4,1183.9,6063963.124932916,5122.02308044
2022-12-17,ETH/USD,1167.7,1190.9,1163.6,1188.2,9381687.141805863,7895.71380391
2022-12-16,ETH/USD,1267.6,1280.6,1157.0,1167.6,30648734.492191616,26249.34437495
2022-12-15,ETH/USD,1308.2,1312.1,1260.5,1267.6,21031720.78695727,16591.76458422
2022-12-14,ETH/USD,1321.5,1352.7,1301.8,1308.2,22809210.651091095,17435.56845367
2022-12-13,ETH/USD,1276.7,1348.5,1256.9,1321.4,39336930.00384672,29769.13122737
2022-12-12,ETH/USD,1264.1,1280.3,1241.8,1276.7,17059577.613984756,13362.24454765
2022-12-11,ETH/USD,1267.0,1286.1,1257.1,1264.5,6524274.28638627,5159.56843526
2022-12-10,ETH/USD,1263.4,1285.1,1260.1,1266.7,5355715.227280889,4228.08496667
2022-12-09,ETH/USD,1281.4,1297.4,1256.3,1263.3,18852010.94212733,14922.82984416
2022-12-08,ETH/USD,1231.9,1293.6,1222.8,1281.4,29130724.779412646,22733.51395303
2022-12-07,ETH/USD,1271.9,1278.3,1219.0,1231.7,11764390.245294852,9551.3438705
2022-12-06,ETH/USD,1259.9,1274.6,1242.6,1271.9,9078786.422368769,7137.97187072
2022-12-05,ETH/USD,1280.6,1306.4,1246.9,1260.1,21440008.44417961,17014.52935813
2022-12-04,ETH/USD,1240.9,1287.6,1240.6,1280.5,12961333.628157394,10122.08795639
2022-12-03,ETH/USD,1295.8,1305.6,1237.0,1240.9,19267373.453466427,15526.93484847
2022-12-02,ETH/USD,1276.8,1297.1,1265.9,1296.0,14228841.939857282,10979.04470668
2022-12-01,ETH/USD,1295.6,1298.5,1263.7,1276.7,13768344.310042208,10784.32232321
2022-11-30,ETH/USD,1216.9,1310.3,1213.2,1295.6,22550367.64733423,17405.34705722
2022-11-29,ETH/USD,1168.0,1228.9,1158.7,1216.9,12917639.019285861,10615.20175798
2022-11-28,ETH/USD,1194.1,1199.3,1149.8,1168.0,12675895.7899568,10852.6505051
2022-11-27,ETH/USD,1205.1,1223.4,1189.5,1194.0,5031686.52041748,4214.14281442
2022-11-26,ETH/USD,1199.2,1234.7,1196.9,1205.2,8043387.343521984,6673.90254192
2022-11-25,ETH/USD,1204.2,1208.1,1171.2,1198.5,10459634.074138544,8727.27081697
2022-11-24,ETH/USD,1184.7,1216.6,1180.9,1204.6,25113268.103189852,20847.80682649
2022-11-23,ETH/USD,1139.6,1192.0,1127.6,1184.3,22200557.158622727,18745.72081282
2022-11-22,ETH/USD,1106.6,1142.0,1075.2,1138.8,17654023.83101526,15502.30403145
2022-11-21,ETH/USD,1141.9,1145.7,1079.5,1106.5,33638668.6125216,30400.96575917
2022-11-20,ETH/USD,1216.6,1226.3,1132.2,1142.0,17418372.21675774,15252.51507597
2022-11-19,ETH/USD,1211.7,1232.3,1197.3,1217.3,6633426.871632281,5449.29505597
2022-11-18,ETH/USD,1199.0,1232.5,1198.7,1211.5,16243289.86312559,13407.58552466
2022-11-17,ETH/USD,1216.1,1227.8,1180.0,1199.3,16439540.306771062,13707.61302991
2022-11-16,ETH/USD,1253.0,1268.3,1186.1,1215.3,22665460.49009268,18650.09503011
2022-11-15,ETH/USD,1243.0,1291.7,1231.0,1253.0,40122166.59389162,32020.88315554
2022-11-14,ETH/USD,1223.0,1290.9,1172.0,1242.6,39442301.90666023,31741.75270132
2022-11-13,ETH/USD,1257.7,1275.1,1202.7,1223.0,33316773.12278579,27241.84229173
2022-11-12,ETH/USD,1288.3,1291.3,1238.7,1257.5,20956890.210518174,16665.51905409
2022-11-11,ETH/USD,1299.3,1309.7,1201.9,1287.3,69716244.49852414,54156.95214676
2022-11-10,ETH/USD,1103.1,1348.0,1086.1,1299.9,151295524.08377713,116390.12545871
2022-11-09,ETH/USD,1335.5,1338.4,1073.9,1102.6,210699817.37190697,191093.61270806
2022-11-08,ETH/USD,1569.5,1580.0,1213.5,1335.9,340050555.8335303,254547.91214427
2022-11-07,ETH/USD,1569.7,1609.6,1547.3,1569.3,39996440.69771154,25486.8034778
2022-11-06,ETH/USD,1628.1,1638.4,1566.7,1569.6,24583111.566439103,15662.02316924
2022-11-05,ETH/USD,1645.5,1667.8,1622.5,1628.1,30816919.28713003,18928.14893872
2022-11-04,ETH/USD,1532.6,1678.0,1530.2,1645.5,93136572.58782202,56600.77337455
2022-11-03,ETH/USD,1519.7,1560.0,1516.5,1532.6,33097169.118864037,21595.43854813
2022-11-02,ETH/USD,1579.8,1622.4,1503.5,1519.7,58633114.16980208,38582.03209173
2022-11-01,ETH/USD,1573.6,1614.0,1564.1,1579.8,40115733.4638623,25392.91901751
2022-10-31,ETH/USD,1592.0,1636.5,1545.8,1573.7,52806529.850112565,33555.65218918
2022-10-30,ETH/USD,1621.4,1642.1,1578.2,1591.7,19410021.40695157,12194.52246463
2022-10-29,ETH/USD,1555.6,1666.0,1549.1,1621.6,56115219.90165397,34604.84700398
2022-10-28,ETH/USD,1515.1,1576.4,1482.1,1555.7,33744851.43583423,21691.10460618
2022-10-27,ETH/USD,1566.9,1579.2,1504.3,1515.1,59295593.88819916,39136.42260458
2022-10-26,ETH/USD,1461.1,1596.0,1458.5,1566.9,125679756.13840017,80209.17489208
2022-10-25,ETH/USD,1344.6,1533.1,1335.9,1460.8,69772509.25015993,47763.21827092
2022-10-24,ETH/USD,1365.3,1371.5,1324.7,1344.7,18266168.526555054,13583.82429282
2022-10-23,ETH/USD,1314.8,1372.4,1300.1,1364.8,15361070.369819969,11255.18051716
2022-10-22,ETH/USD,1300.7,1321.2,1294.7,1314.7,5049456.230690557,3840.76689031
2022-10-21,ETH/USD,1283.8,1307.9,1254.8,1300.4,21985058.85887059,16906.38177397
2022-10-20,ETH/USD,1285.6,1311.4,1270.0,1283.9,23961290.499950457,18662.89469581
2022-10-19,ETH/USD,1310.7,1313.3,1279.8,1285.6,12587082.88739688,9790.8236523
2022-10-18,ETH/USD,1331.8,1342.1,1287.0,1310.8,17125064.04144059,13064.58959524
2022-10-17,ETH/USD,1306.4,1339.0,1296.0,1331.8,9074966.914746515,6814.06135662
2022-10-16,ETH/USD,1275.2,1316.2,1274.9,1306.4,8690804.866680736,6652.48382324
2022-10-15,ETH/USD,1297.0,1301.8,1263.7,1275.2,6393328.072606481,5013.58851365
2022-10-14,ETH/USD,1287.1,1344.0,1283.7,1297.1,14185915.259649888,10936.63962659
2022-10-13,ETH/USD,1294.5,1301.4,1190.0,1287.3,59751863.1537677,46416.42441837
2022-10-12,ETH/USD,1279.8,1303.1,1275.16479186,1294.6,27850215.745358612,21512.60292396
2022-10-11,ETH/USD,1289.9,1299.06906763,1267.08689386,1279.9,38999895.85632275,30471.04918847
2022-10-10,ETH/USD,1323.1,1338.1,1287.4,1290.0,34731386.0339532,26923.55506508
2022-10-09,ETH/USD,1315.7,1328.7,1307.3,1323.54406149,13259440.321320103,10018.13291081
2022-10-08,ETH/USD,1330.8918066,1337.7,1303.6,1315.7,8660788.612126797,6582.64696521
2022-10-07,ETH/USD,1352.2,1361.9,1317.14808044,1330.8918066,57725648.05323049,43373.65950182
2022-10-06,ETH/USD,1352.04599591,1390.2,1345.3,1352.2,62565370.417881474,46269.31697817
2022-10-05,ETH/USD,1361.76327716,1365.0,1316.2,1352.04599591,48346831.498163566,35758.27423358
2022-10-04,ETH/USD,1323.4,1370.1285401,1319.2539635,1361.76327716,40537049.95601302,29768.0592772
2022-10-03,ETH/USD,1277.29444921,1330.1850109,1264.0,1323.4,89390318.03406334,67545.95589698
2022-10-02,ETH/USD,1312.2,1318.2,1270.0,1277.8,20353259.528847825,15928.36087717
2022-10-01,ETH/USD,1329.2,1334.4,1303.2,1312.0,9082435.27485216,6922.58786193
2022-09-30,ETH/USD,1336.15159633,1373.7,1315.1,1329.2,75083475.01271158,56487.71818591
2022-09-29,ETH/USD,1337.8,1352.2,1289.5,1335.75835033,54066998.55598181,40476.63152742
2022-09-28,ETH/USD,1329.00947922,1356.7,1255.0,1337.3,115725762.45050882,86536.87463584
2022-09-27,ETH/USD,1336.89342049,1401.6,1304.83663664,1328.9,87693520.87113783,65989.55592681
2022-09-26,ETH/USD,1295.5099612,1341.13753568,1279.6,1337.2,261899315.2398133,195856.5025724
2022-09-25,ETH/USD,1317.4,1337.8,1270.5,1295.0,21685361.192692753,16745.45265845
2022-09-24,ETH/USD,1327.7,1349.94224716,1307.0,1317.4,7948917.718837173,6033.79210478
2022-09-23,ETH/USD,1327.1,1360.0,1263.1,1328.1,98802872.4017062,74394.15134531
2022-09-22,ETH/USD,1245.7,1349.7,1237.3,1326.5,125565928.95862904,94659.57705136
2022-09-21,ETH/USD,1323.54920562,1412.76385631,1220.11135781,1246.3,105411997.25455268,84579.95446887
2022-09-20,ETH/USD,1376.07777212,1385.8,1313.1,1323.7,66025590.51301706,49879.57279823
2022-09-19,ETH/USD,1335.2,1393.9,1281.1,1376.67959926,71451927.91828558,51901.63924612
2022-09-18,ETH/USD,1469.3,1470.49587126,1324.0,1334.6365268,60337609.37994009,45209.01996037
2022-09-17,ETH/USD,1434.4,1476.45898224,1410.3,1469.4,37141602.55331903,25276.71332062
2022-09-16,ETH/USD,1474.2,1484.5,1406.5,1434.4,87125908.22110772,60740.31526848
2022-09-15,ETH/USD,1638.5,1656.0,1461.0,1474.1,195803320.30021432,132829.06200408
2022-09-14,ETH/USD,1574.5,1652.7,1553.1,1639.4,57876663.3541263,35303.56432483
2022-09-13,ETH/USD,1716.2,1763.9,1561.6,1574.9,116842322.38595067,74190.31201089
2022-09-12,ETH/USD,1766.30886479,1783.14261305,1693.1,1716.70659732,44730999.14860099,26056.28662372
2022-09-11,ETH/USD,1774.9,1789.2,1721.0,1767.56081559,29284001.888816677,16567.46496671
2022-09-10,ETH/USD,1720.3,1789.7,1707.9,1774.7,27199652.568835557,15326.33829314
