Datetime,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_DOGE
2022-04-22,DOG/USD,138940.0,140420.0,132760.0,138490.0,2621.7237222000003,0.01893078
2022-04-21,DOG/USD,141810.0,144480.0,132770.0,133310.0,2601.67796,0.019516
2022-04-20,DOG/USD,143630.0,149050.0,132900.0,136240.0,3990.9409904,0.02929346
2022-04-19,DOG/USD,141420.0,146630.0,133830.0,135430.0,2501.8308932,0.01847324
2022-04-18,DOG/USD,140410.0,142950.0,132690.0,141400.0,3031.4364219999998,0.02143873
2022-04-17,DOG/USD,144730.0,146440.0,137230.0,140300.0,2857.572877,0.02036759
2022-04-16,DOG/USD,146960.0,149920.0,136380.0,146220.0,3144.2739384,0.02150372
2022-04-15,DOG/USD,144600.0,150680.0,140080.0,145050.0,2975.0639804999996,0.02051061
2022-04-14,DOG/USD,142890.0,148870.0,134280.0,146080.0,3118.3361616,0.02134677
2022-04-13,DOG/USD,141000.0,145050.0,131460.0,141160.0,2862.8123192,0.02028062
2022-04-12,DOG/USD,134670.0,146030.0,130440.0,139140.0,4451.4030564,0.03199226
2022-04-11,DOG/USD,147540.0,151000.0,130390.0,132210.0,4099.4672003999995,0.03100724
2022-04-10,DOG/USD,145120.0,159500.0,142790.0,147540.0,3434.9554608,0.02328152
2022-04-09,DOG/USD,143330.0,146990.0,139580.0,142780.0,2777.8791348,0.01945566
2022-04-08,DOG/USD,146430.0,154650.0,140860.0,141300.0,3270.3814350000002,0.02314495
2022-04-07,DOG/USD,144840.0,150100.0,135400.0,148590.0,3112.5682224,0.02094736
2022-04-06,DOG/USD,173010.0,175600.0,140840.0,143260.0,4194.1069794000005,0.02927619
2022-04-05,DOG/USD,149450.0,178800.0,145320.0,174090.0,8983.5070794,0.05160266
2022-04-04,DOG/USD,148370.0,158360.0,134790.0,151240.0,5447.4197912,0.03601838
2022-04-03,DOG/USD,139720.0,151520.0,128570.0,147520.0,5405.355555200001,0.03664151
2022-04-02,DOG/USD,142110.0,146520.0,137030.0,138300.0,3026.5184759999997,0.02188372
2022-04-01,DOG/USD,137180.0,144690.0,129800.0,142170.0,2916.6090197999997,0.02051494
2022-03-31,DOG/USD,143730.0,149710.0,136540.0,139130.0,4263.3898073,0.03064321
2022-03-30,DOG/USD,144820.0,146410.0,131640.0,142020.0,3816.0731394,0.02686997
2022-03-29,DOG/USD,143170.0,151160.0,139640.0,141490.0,3921.7717134000004,0.02771766
2022-03-28,DOG/USD,145270.0,154780.0,137860.0,140010.0,91074.3194439,0.65048439
2022-03-27,DOG/USD,136800.0,146490.0,133630.0,145560.0,12457.978218,0.08558655
2022-03-26,DOG/USD,132880.0,138740.0,127940.0,134610.0,2821.7405874,0.02096234
2022-03-25,DOG/USD,136760.0,139190.0,126080.0,131810.0,3550.0558653,0.02693313
2022-03-24,DOG/USD,130810.0,143780.0,127170.0,136770.0,6481.6520253,0.04739089
2022-03-23,DOG/USD,123090.0,131960.0,116350.0,130760.0,3539.2756896,0.02706696
2022-03-22,DOG/USD,120860.0,126410.0,115460.0,121040.0,2808.5988456,0.02320389
2022-03-21,DOG/USD,120100.0,123060.0,113860.0,120190.0,2570.1237296,0.02138384
2022-03-20,DOG/USD,124590.0,126260.0,114350.0,118220.0,2391.9854548,0.02023334
2022-03-19,DOG/USD,120150.0,126490.0,114520.0,125890.0,3640.3472821,0.02891689
2022-03-18,DOG/USD,117380.0,120840.0,109830.0,118190.0,9658.004584799999,0.08171592
2022-03-17,DOG/USD,117900.0,120570.0,112940.0,117420.0,2542.3003428,0.02165134
2022-03-16,DOG/USD,113540.0,118950.0,107930.0,117910.0,2792.9730802999998,0.02368733
2022-03-15,DOG/USD,114840.0,116360.0,107360.0,111790.0,4083.5064823,0.03652837
2022-03-14,DOG/USD,112170.0,120750.0,106580.0,114840.0,3110.4551808,0.02708512
2022-03-13,DOG/USD,117090.0,118530.0,106350.0,113760.0,4220.5722192,0.03710067
2022-03-12,DOG/USD,116340.0,119490.0,109390.0,115720.0,2275.0644576,0.01966008
2022-03-11,DOG/USD,117910.0,120560.0,111590.0,115240.0,2234.3503308,0.01938867
2022-03-10,DOG/USD,122390.0,123780.0,109440.0,117640.0,2913.6886976,0.02476784
2022-03-09,DOG/USD,117820.0,124720.0,99978.0,119880.0,21414.5647992,0.17863334
2022-03-08,DOG/USD,117860.0,123850.0,111440.0,115560.0,3458.2670496,0.02992616
2022-03-07,DOG/USD,121460.0,123720.0,110150.0,118010.0,4688.0239565,0.03972565
2022-03-06,DOG/USD,126040.0,127400.0,118320.0,121460.0,2691.9495596,0.02216326
