Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_in_ETH,Volume_USD
2022-12-27 00:00:00,Gemini,ETH/USD,1228.11,1232.58,1222.29,1225.2,211.098282,258637.61510640002
2022-12-26 23:00:00,Gemini,ETH/USD,1218.72,1230.14,1217.61,1228.11,52.580858,64575.07751837999
2022-12-26 22:00:00,Gemini,ETH/USD,1215.35,1219.11,1215.35,1218.72,67.379084,82116.23725248002
2022-12-26 21:00:00,Gemini,ETH/USD,1216.82,1219.19,1215.35,1215.35,111.366565,135349.35477275
2022-12-26 20:00:00,Gemini,ETH/USD,1216.98,1217.68,1215.91,1216.82,102.660794,124919.70735507998
2022-12-26 19:00:00,Gemini,ETH/USD,1214.02,1219.39,1213.68,1216.98,40.816067,49672.337217659995
2022-12-26 18:00:00,Gemini,ETH/USD,1214.85,1215.49,1213.23,1214.02,82.258424,99863.37190448001
2022-12-26 17:00:00,Gemini,ETH/USD,1216.34,1216.34,1214.04,1214.85,14.364725,17450.986166249997
2022-12-26 16:00:00,Gemini,ETH/USD,1215.49,1217.12,1213.94,1216.34,31.432884,38233.07412456
2022-12-26 15:00:00,Gemini,ETH/USD,1216.93,1216.99,1214.26,1215.49,17.314482,21045.579726180003
2022-12-26 14:00:00,Gemini,ETH/USD,1216.14,1217.6,1215.21,1216.93,7.434751,9047.57153443
2022-12-26 13:00:00,Gemini,ETH/USD,1220.05,1220.05,1211.54,1216.14,49.683064,60421.561452960006
2022-12-26 12:00:00,Gemini,ETH/USD,1220.33,1220.62,1219.6,1220.05,16.229172,19800.401298599998
2022-12-26 11:00:00,Gemini,ETH/USD,1219.36,1220.85,1218.26,1220.33,8.481126,10349.772491579999
2022-12-26 10:00:00,Gemini,ETH/USD,1219.3,1221.53,1219.05,1219.36,3.967421,4837.714470559999
2022-12-26 09:00:00,Gemini,ETH/USD,1219.41,1220.38,1218.58,1219.3,16.601924,20242.7259332
2022-12-26 08:00:00,Gemini,ETH/USD,1220.36,1220.55,1218.26,1219.41,10.454918,12748.83155838
2022-12-26 07:00:00,Gemini,ETH/USD,1218.58,1220.64,1218.58,1220.36,23.778903,29018.822065079996
2022-12-26 06:00:00,Gemini,ETH/USD,1219.59,1220.29,1218.58,1218.58,8.581718,10457.50992044
2022-12-26 05:00:00,Gemini,ETH/USD,1220.27,1221.57,1219.59,1219.59,25.054071,30555.694450889998
2022-12-26 04:00:00,Gemini,ETH/USD,1220.38,1222.55,1219.62,1220.27,35.943279,43860.50506533
2022-12-26 03:00:00,Gemini,ETH/USD,1221.25,1221.84,1219.57,1220.38,13.591035,16586.227293300002
2022-12-26 02:00:00,Gemini,ETH/USD,1220.42,1223.31,1219.75,1221.25,38.869293,47469.12407625
2022-12-26 01:00:00,Gemini,ETH/USD,1218.15,1221.26,1217.81,1220.42,24.516596,29920.544090320003
2022-12-26 00:00:00,Gemini,ETH/USD,1219.28,1219.44,1217.34,1218.15,43.187174,52608.4560081
2022-12-25 23:00:00,Gemini,ETH/USD,1216.58,1219.28,1215.85,1219.28,22.235017,27110.71152776
2022-12-25 22:00:00,Gemini,ETH/USD,1217.9,1221.98,1216.58,1216.58,6.352874,7728.779450919999
2022-12-25 21:00:00,Gemini,ETH/USD,1205.14,1222.98,1205.03,1217.9,77.251764,94084.9233756
2022-12-25 20:00:00,Gemini,ETH/USD,1208.62,1208.62,1204.63,1205.14,88.07249,106139.68059860001
