Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_in_SOL,Volume_USD
2022-12-27 00:00:00,Gemini,SOL/USD,11.325,11.424,11.273,11.309,11899.873356,134575.667783004
2022-12-26 23:00:00,Gemini,SOL/USD,11.188,11.331,11.171,11.325,2049.675186,23212.57148145
2022-12-26 22:00:00,Gemini,SOL/USD,11.21,11.22,11.169,11.188,64.054679,716.643748652
2022-12-26 21:00:00,Gemini,SOL/USD,11.207,11.267,11.196,11.21,3321.768184,37237.02134264
2022-12-26 20:00:00,Gemini,SOL/USD,11.18,11.21,11.18,11.207,1228.130233,13763.655521231001
2022-12-26 19:00:00,Gemini,SOL/USD,11.159,11.208,11.159,11.18,220.191386,2461.7396954799997
2022-12-26 18:00:00,Gemini,SOL/USD,11.18,11.189,11.144,11.159,354.55155,3956.4407464500005
2022-12-26 17:00:00,Gemini,SOL/USD,11.208,11.208,11.163,11.18,305.167738,3411.7753108399997
2022-12-26 16:00:00,Gemini,SOL/USD,11.179,11.217,11.08,11.208,5981.480427,67040.432625816
2022-12-26 15:00:00,Gemini,SOL/USD,11.315,11.315,11.112,11.179,2197.325653,24563.903474887
2022-12-26 14:00:00,Gemini,SOL/USD,11.311,11.315,11.287,11.315,1038.973824,11755.98881856
2022-12-26 13:00:00,Gemini,SOL/USD,11.361,11.392,11.29,11.311,916.412142,10365.537738162
2022-12-26 12:00:00,Gemini,SOL/USD,11.361,11.39,11.344,11.361,274.596526,3119.6911318859998
2022-12-26 11:00:00,Gemini,SOL/USD,11.349,11.373,11.322,11.361,102.553167,1165.1065302870002
2022-12-26 10:00:00,Gemini,SOL/USD,11.324,11.369,11.322,11.349,54.751194,621.3713007059999
2022-12-26 09:00:00,Gemini,SOL/USD,11.296,11.358,11.289,11.324,39.943865,452.32432726
2022-12-26 08:00:00,Gemini,SOL/USD,11.3,11.318,11.29,11.296,111.527684,1259.816718464
2022-12-26 07:00:00,Gemini,SOL/USD,11.293,11.32,11.285,11.3,103.698811,1171.7965643000002
2022-12-26 06:00:00,Gemini,SOL/USD,11.346,11.347,11.277,11.293,84.402553,953.1580310289999
2022-12-26 05:00:00,Gemini,SOL/USD,11.382,11.385,11.31,11.346,570.175015,6469.205720190001
2022-12-26 04:00:00,Gemini,SOL/USD,11.434,11.494,11.377,11.382,357.730635,4071.69008757
2022-12-26 03:00:00,Gemini,SOL/USD,11.425,11.461,11.396,11.434,503.501076,5757.031302984
2022-12-26 02:00:00,Gemini,SOL/USD,11.401,11.486,11.396,11.425,69.789271,797.342421175
2022-12-26 01:00:00,Gemini,SOL/USD,11.294,11.423,11.277,11.401,331.801938,3782.873895138
