Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_in_BTC,Volume_USD
2022-12-27 00:00:00,Gemini,BTC/USD,16908.98,16966.0,16850.0,16871.43,34.50184039,582095.3850110577
2022-12-26 23:00:00,Gemini,BTC/USD,16843.11,16929.58,16800.0,16908.98,53.26236605,900612.2822921289
2022-12-26 22:00:00,Gemini,BTC/USD,16830.22,16846.57,16830.22,16843.11,7.88134515,132746.36330941648
2022-12-26 21:00:00,Gemini,BTC/USD,16838.39,16850.91,16825.97,16830.22,11.70480881,196994.5073302382
2022-12-26 20:00:00,Gemini,BTC/USD,16843.06,16846.65,16834.26,16838.39,7.18030764,120904.8203622996
2022-12-26 19:00:00,Gemini,BTC/USD,16822.04,16859.09,16819.16,16843.06,20.9686959,353177.003165454
2022-12-26 18:00:00,Gemini,BTC/USD,16838.75,16849.4,16819.16,16822.04,11.89803512,200149.2227100448
2022-12-26 17:00:00,Gemini,BTC/USD,16830.79,16858.6,16825.0,16838.75,16.97358664,285813.9820343
2022-12-26 16:00:00,Gemini,BTC/USD,16802.6,16834.0,16797.1,16830.79,9.26168065,155881.40206721352
2022-12-26 15:00:00,Gemini,BTC/USD,16833.86,16834.0,16800.0,16802.6,12.56501547,211124.928936222
2022-12-26 14:00:00,Gemini,BTC/USD,16841.91,16846.71,16833.86,16833.86,8.20433758,138110.6702144588
2022-12-26 13:00:00,Gemini,BTC/USD,16858.14,16858.14,16841.28,16841.91,6.80126613,114546.3120475083
2022-12-26 12:00:00,Gemini,BTC/USD,16864.46,16869.21,16858.13,16858.14,1.62208674,27345.3653550636
2022-12-26 11:00:00,Gemini,BTC/USD,16852.33,16868.47,16849.33,16864.46,0.69228781,11675.060080232599
2022-12-26 10:00:00,Gemini,BTC/USD,16848.7,16863.19,16837.82,16852.33,1.14156645,19238.0545323285
2022-12-26 09:00:00,Gemini,BTC/USD,16841.27,16859.75,16838.13,16848.7,2.72218321,45865.248250327
2022-12-26 08:00:00,Gemini,BTC/USD,16848.15,16848.16,16831.32,16841.27,3.16037487,53224.7264868849
2022-12-26 07:00:00,Gemini,BTC/USD,16852.49,16854.73,16845.16,16848.15,5.39815336,90948.89753228401
2022-12-26 06:00:00,Gemini,BTC/USD,16854.11,16869.06,16852.48,16852.49,1.87838382,31655.444542711804
2022-12-26 05:00:00,Gemini,BTC/USD,16878.08,16882.77,16850.69,16854.11,4.17499908,70365.8937442188
2022-12-26 04:00:00,Gemini,BTC/USD,16886.24,16907.87,16872.62,16878.08,9.48866329,160150.4181016832
2022-12-26 03:00:00,Gemini,BTC/USD,16879.5,16886.89,16853.0,16886.24,17.36717322,293266.25511449284
2022-12-26 02:00:00,Gemini,BTC/USD,16854.32,16894.34,16854.32,16879.5,10.06861958,169953.26420061
2022-12-26 01:00:00,Gemini,BTC/USD,16830.51,16864.8,16828.73,16854.32,6.94257433,117012.3693816056
2022-12-26 00:00:00,Gemini,BTC/USD,16833.7,16838.9,16820.68,16830.51,3.63297951,61144.8979728501
2022-12-25 23:00:00,Gemini,BTC/USD,16820.73,16841.41,16812.67,16833.7,2.41149543,40594.390619991005
2022-12-25 22:00:00,Gemini,BTC/USD,16823.69,16845.25,16810.73,16820.73,7.36843454,123942.4479200142
2022-12-25 21:00:00,Gemini,BTC/USD,16771.75,16845.27,16767.02,16823.69,6.90713105,116203.4315745745
2022-12-25 20:00:00,Gemini,BTC/USD,16792.56,16792.56,16764.99,16771.75,3.21501345,53921.401830037496
2022-12-25 19:00:00,Gemini,BTC/USD,16779.01,16792.73,16730.31,16792.56,10.44349556,175373.02580103363
2022-12-25 18:00:00,Gemini,BTC/USD,16798.41,16811.6,16779.01,16779.01,9.50084859,159414.8335000959
2022-12-25 17:00:00,Gemini,BTC/USD,16807.11,16829.11,16797.14,16798.41,8.67002674,145642.6638894834
2022-12-25 16:00:00,Gemini,BTC/USD,16805.09,16814.31,16784.83,16807.11,4.10598763,69009.78575604931
