Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_in_SOL,Volume_USD
2022-02-27 04:00:00,Gemini,SOL/USD,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-26 04:00:00,Gemini,SOL/USD,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-25 04:00:00,Gemini,SOL/USD,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-24 04:00:00,Gemini,SOL/USD,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-23 04:00:00,Gemini,SOL/USD,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-22 04:00:00,Gemini,SOL/USD,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-21 04:00:00,Gemini,SOL/USD,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-20 04:00:00,Gemini,SOL/USD,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-19 04:00:00,Gemini,SOL/USD,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18 04:00:00,Gemini,SOL/USD,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-17 04:00:00,Gemini,SOL/USD,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-16 04:00:00,Gemini,SOL/USD,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-15 04:00:00,Gemini,SOL/USD,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-14 04:00:00,Gemini,SOL/USD,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-13 04:00:00,Gemini,SOL/USD,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-12 04:00:00,Gemini,SOL/USD,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-11 04:00:00,Gemini,SOL/USD,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-10 04:00:00,Gemini,SOL/USD,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-09 04:00:00,Gemini,SOL/USD,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-08 04:00:00,Gemini,SOL/USD,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-07 04:00:00,Gemini,SOL/USD,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-06 04:00:00,Gemini,SOL/USD,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-05 04:00:00,Gemini,SOL/USD,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-04 04:00:00,Gemini,SOL/USD,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-03 04:00:00,Gemini,SOL/USD,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-02 04:00:00,Gemini,SOL/USD,0.0,0.0,0.0,0.0,0.0,0.0
